Worker ID,UPDATE-Had rejected HITs from previous assignments
A18689HTFQWMTD,1
A18689HTFQWMTD,1
A19Y8QDS9ABVD4,1
A19Y8QDS9ABVD4,1
A1LQG5IS2OMLHC,1
A26Z3YPJ8RYJQJ,1
A27A3Z6J7745DI,1
A27A3Z6J7745DI,1
A27A3Z6J7745DI,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DCGTGSVHL9KM,1
A2DK327BVTEOLI,1
A2EV4VW1L9KDB1,1
A2EV4VW1L9KDB1,1
A2EV4VW1L9KDB1,1
A2EV4VW1L9KDB1,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FJ8YQ6VHGD2L,1
A2FWRZLIE1I60V,1
A2FWRZLIE1I60V,1
A2FWRZLIE1I60V,1
A2FWRZLIE1I60V,1
A2FWRZLIE1I60V,1
A2GQH4SWIOFH2L,1
A2GQH4SWIOFH2L,1
A2GQH4SWIOFH2L,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2H1RXUC8XNNIW,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2HSX08DWDYJU7,1
A2LSYIW9I5K4JE,1
A2PGH80T590KW5,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2RHN22KBCDQJZ,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UAU84Z73N04W,1
A2UQFHJQWUJUGO,1
A2UQFHJQWUJUGO,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A30F0PU2C1SRQW,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34LTHW8PR3UU4,1
A34US36IOLDD1U,1
A37NZ5CUEO3RX7,1
A37NZ5CUEO3RX7,1
A37NZ5CUEO3RX7,1
A37NZ5CUEO3RX7,1
A37NZ5CUEO3RX7,1
A3AFLE1W4L89MH,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3GCVJINCZ758Y,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3IIFZPOVE2B1O,1
A3KGCURZJ02L3,1
A3KGCURZJ02L3,1
A3KGCURZJ02L3,1
A3KGCURZJ02L3,1
A3KGCURZJ02L3,1
A3KGCURZJ02L3,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3O2D8R010SUSA,1
A3S4DTK3Y3PBYY,1
A3S4DTK3Y3PBYY,1
A3S4DTK3Y3PBYY,1
A3TDUHEBFJ53NM,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A5YABFNDC9VUP,1
A6NVA9PSANOXO,1
A6NVA9PSANOXO,1
A6NVA9PSANOXO,1
A6NVA9PSANOXO,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
A8QO0O3DM3LXJ,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
AKXJDNVRKOMKM,1
ALWC0088GCMJL,1
ANURLPQ0CHHGU,1
ANURLPQ0CHHGU,1
ANURLPQ0CHHGU,1
AQKMZFJPNYQ9J,1
AT0HSOX32RSHB,1
AT0HSOX32RSHB,1
AT0HSOX32RSHB,1
A1Q890R4148O5G,1
A3H70RJNKHWKBD,1
A3HJNOCKXFOOVP,1
AUNX1G4IZUO2,1
