article_id,Hate_Crime,Reference_Hate
https://abc7.com/huong-tich-buddhist-temple-oc-santa-ana-hate-crime/8282705/,True,True
https://abc7news.com/grandmother-elder-abuse-san-francisco-visitacion-valley-neighborhood/5049856/,True,True
https://abc7news.com/leronne-armstrong-oakland-police-chinatown-violence-chief-crime/10331282/,True,True
https://abc7news.com/lin-leong-connie-ho-san-francisco-chinatown/736711/,True,True
https://abcnews.go.com/blogs/headlines/2013/02/duke-students-protest-racist-rager-frat-party,True,True
https://around.uoregon.edu/content/article-movie-stereotypes-shouldnt-be-taken-seriously,False,True
https://bc.ctvnews.ca/alarming-disturbing-and-despicable-local-chinese-community-leader-condemns-attack-on-92-year-old-man-1.4910708?cache=%2F7.353992%2F7.325899,True,True
https://english.alarabiya.net/articles/2011%2F11%2F15%2F177276,True,True
https://globalnews.ca/news/6887720/man-arrested-violent-skytrain-attack/,True,True
https://gothamist.com/news/subway-rider-allegedly-assaults-and-spits-on-korean-woman-get-the-f-out-of-my-country,True,True
https://mashable.com/2013/01/21/google-removes-make-me-asian-app/,True,False
https://nypost.com/2021/01/06/soho-karen-miya-ponsetto-was-having-anxiety-attack-lawyer/,True,True
https://scroll.in/latest/887758/uk-decides-against-separate-law-to-counter-caste-discrimination-in-indian-community,True,True
https://scroll.in/video/942458/watch-can-i-have-a-white-doctor-senior-indian-surgeon-with-uks-nhs-recounts-racist-comments,True,True
https://usa.inquirer.net/58459/canada-has-more-reported-anti-asian-hate-incidents-than-u-s-report,True,True
https://wset.com/archive/man-says-obama-mask-on-monkey-not-racist,True,False
https://www.abqjournal.com/1461213/accused-rapist-back-in-jail-charged-with-2010-sex-assault.html,True,False
https://www.afl.com.au/news/131877/twoyear-ban-for-tigers-member-over-racist-taunts,False,True
https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/arizona-asian-americans-fear-uptick-in-violence-against-their-community/article_0c139cec-6ccb-11eb-aa0e-1bf818daca6c.html,True,True
https://www.bbc.co.uk/news/uk-41560927,True,True
https://www.bbc.co.uk/news/world-europe-13926342,True,True
https://www.bbc.com/news/uk-england-nottinghamshire-52413070,True,True
https://www.bbc.com/news/world-asia-china-55555299,True,True
https://www.bbc.com/news/world-asia-china-56453806,True,True
https://www.businesstoday.in/technology/news/from-hate-speech-to-nudity-facebooks-oversight-board-picks-its-first-cases/story/423594.html,False,True
https://www.cbs8.com/article/news/local/san-diego-rabbi-attacked-hate-crime-hopes-teenage-suspect-gets-help-yonatan-halevy/509-d772b75b-7a4f-48c2-bdcc-8ca67c8ed7d3,True,True
https://www.cleveland.com/business/2011/06/muslim_woman_sues_abercrombie.html,True,True
