Input.url,Answer.asian_hate_crime,Answer.has_victim_race,Answer.offender_race,Answer.reference_hate,Answer.state,Answer.town,Answer.victim_race,Answer.year
https://www.newyorker.com/news/daily-comment/the-bullying-anti-asian-racism-of-fox-newss-watters-world,TRUE,TRUE,white,TRUE,unknown,unknown,asian,2016
https://abcnews.go.com/blogs/headlines/2013/02/duke-students-protest-racist-rager-frat-party,TRUE,TRUE,unknown,TRUE,NC,Durham,asian,2013
https://www.nbcnews.com/news/us-news/driver-deadly-car-attack-charlottesville-white-nationalist-rally-pleads-guilty-n987961,FALSE,FALSE,white,FALSE,VA,Charlottesville,white,2017
https://www.theguardian.com/world/2015/sep/16/japanese-anti-war-protesters-challenge-shinzo-abe,FALSE,TRUE,asian,FALSE,not_us,unknown,asian,2015
https://www.latimes.com/california/story/2021-03-19/anti-asian-racism-oakland-chinatown,TRUE,TRUE,unknown,TRUE,CA,Oakland,asian,2021
https://www.bbc.com/news/world-asia-china-56453806,TRUE,TRUE,white,TRUE,CA,San Francisco,asian,2021
https://www.npr.org/sections/codeswitch/2016/04/23/475369524/awoken-by-n-y-cop-shooting-asian-american-activists-chart-way-forward,FALSE,TRUE,asian,FALSE,NY,Brooklyn,black,2016
https://www.cnn.com/2015/05/17/us/harvard-asian-americans-discrimination-complaint/index.html,FALSE,TRUE,unknown,FALSE,MA,Boston,asian,2015
https://www.ozarksfirst.com/capitol-lockdown/san-diego-woman-idd-as-person-shot-dead-inside-capitol/,FALSE,FALSE,unknown,FALSE,DC,Washington DC,white,2021
https://www.columbiamissourian.com/news/higher_education/mus-asian-students-reluctant-to-report-episodes-of-discrimination-racism/article_e384936e-963b-11e5-8813-c34632bd9101.html,TRUE,TRUE,white,TRUE,MO,Columbia,asian,2016
https://www.kidzworld.com/article/31321-spider-man-into-the-spider-verse-movie-review-you-can-wear-the-mask/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.nytimes.com/2015/09/20/magazine/barbie-wants-to-get-to-know-your-child.html,FALSE,FALSE,unknown,FALSE,not_us,unknown,unknown,unknown
